app_id	title	user_review_percent	user_review_count	discount_percent	release_year	price_base	developer	publisher	tags
10	Counter-Strike	96	162043	0	2000	9.99	Valve	Valve	Action|FPS|Multiplayer|Shooter|Classic|Team-Based|First-Person|Competitive|Tactical|1990's|eSports|PvP|Old School|Military|Strategy|Survival|Score Attack|1980s|Assassin|Nostalgia
20	Team Fortress Classic	86	6641	0	1999	4.99	Valve	Valve	Action|FPS|Multiplayer|Classic|Hero Shooter|Shooter|Team-Based|Class-Based|First-Person|1990's|Old School|Co-op|Competitive|Fast-Paced|Retro|Online Co-Op|Violent|Mod|Funny|Remake
30	Day of Defeat	88	4318	0	2003	4.99	Valve	Valve	FPS|World War II|Multiplayer|Shooter|Action|War|Team-Based|Classic|First-Person|Class-Based|Military|Historical|Tactical|Singleplayer|Co-op|Violent|Retro|Difficult|Old School|Strategy
40	Deathmatch Classic	82	2339	0	2001	4.99	Valve	Valve	Action|FPS|Classic|Multiplayer|Shooter|First-Person|Arena Shooter|Old School|Sci-fi|Competitive|Fast-Paced|Retro|Gore|1990's|Co-op|Difficult|Singleplayer|PvP
50	Half-Life: Opposing Force	95	22850	0	1999	4.99	Gearbox Software	Valve	FPS|Action|Classic|Sci-fi|Singleplayer|Shooter|First-Person|Aliens|1990's|Adventure|Atmospheric|Military|Story Rich|Silent Protagonist|Great Soundtrack|Gore|Puzzle|Retro|Moddable|Co-op
60	Ricochet	81	4375	0	2000	4.99	Valve	Valve	Action|FPS|Multiplayer|Classic|First-Person|Sci-fi|Shooter|Space|Cyberpunk|Psychological Horror|3D|Memes|Retro|Platformer|Old School|Conspiracy|Cult Classic|Competitive|Sports|Great Soundtrack
70	Half-Life	96	107258	0	1998	9.99	Valve	Valve	FPS|Classic|1990's|Sci-fi|Singleplayer|Multiplayer|Shooter|First-Person|Action|Aliens|Silent Protagonist|Story Rich|Atmospheric|Gore|Retro|Moddable|Adventure|Action-Adventure|Difficult|PvP
80	Counter-Strike: Condition Zero	90	20153	0	2004	9.99	Valve	Valve	Action|FPS|Shooter|Multiplayer|First-Person|Singleplayer|Classic|Tactical|Team-Based|Competitive|Military|Online Co-Op|Strategy|Adventure|Survival|Atmospheric|Old School|Dark|Open World|Violent
130	Half-Life: Blue Shift	92	16839	0	2001	4.99	Gearbox Software	Valve	FPS|Action|Sci-fi|Singleplayer|Shooter|Aliens|Classic|First-Person|Zombies|Adventure|1990's|Short|Atmospheric|Silent Protagonist|Story Rich|Puzzle|Moddable|Retro|Great Soundtrack|Violent
220	Half-Life 2	97	185028	0	2004	9.99	Valve	Valve	FPS|Action|Sci-fi|Classic|Singleplayer|Story Rich|Shooter|First-Person|Adventure|Dystopian|Atmospheric|Silent Protagonist|Zombies|Physics|Aliens|Great Soundtrack|Horror|Multiplayer|Puzzle|Moddable
240	Counter-Strike: Source	96	128428	0	2004	9.99	Valve	Valve	Shooter|FPS|Action|Multiplayer|Team-Based|First-Person|Competitive|Tactical|PvP|eSports|Military|War|Strategy|Moddable|Singleplayer|Difficult|Atmospheric|Survival|Simulation|Sandbox
300	Day of Defeat: Source	90	15448	0	2005	9.99	Valve	Valve	FPS|World War II|Multiplayer|Action|Shooter|Military|War|Team-Based|First-Person|Historical|Class-Based|Classic|Tactical|Realistic|Online Co-Op|Gore|Strategy|Massively Multiplayer|Simulation|Violent
